

D,D,D,B,C,D,A,C,D,B,A,A,B,C,A,B,D,C,D,A,C,B,C,A,B,D,C,B,D,B,A,B,D,B,C,D,A,B,D,C






B,C,C,B,B,D,D,A,C,B,B,C,A,B,B,B,A,C,B,D,A,B,C,B,B,A,D,C,B,A,B,C,B,C,B,A,A,C,C,B




A,B,C,D,D,C,B,A,A,B,B,B,B,C,C,C,D,D,D,B,C,A,A,B,B,D,D,C,C,D,D,D,A,A,B,B,C,C,D,D
































































































































































































































































































































































































































































D,C,C,A,A,D,D,D,C,B,D,C,B,C,B,B,C,D,B,B,A,B,C,C,B,B,D,C,C,C,B,B,B,C,B,A,A,B,B,D

